                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     57,                0.84035,                0.46434,                0.89822,                 1.1881,                0.61418,                0.91472,                0.86925,                0.86862,                0.90939,                 0.6608,                0.94825,                0.49547,                0.95612,                 1.2413,                0.56487,                0.95399,              0.0004555,              0.0004555,              0.0004555
                     58,                0.83227,                0.45931,                0.89957,                 1.1975,                0.61125,                0.91007,                0.84348,                0.88856,                0.89838,                0.64123,                0.92981,                0.48477,                0.93194,                 1.2543,                0.56247,                0.94274,              0.0004456,              0.0004456,              0.0004456
                     59,                0.81662,                 0.4535,                0.89345,                 1.1643,                 0.5984,                0.90512,                0.87314,                0.86544,                0.91364,                0.65931,                0.90692,                0.46878,                0.92794,                  1.229,                0.53884,                 0.9401,              0.0004357,              0.0004357,              0.0004357
                     60,                0.81657,                 0.4475,                0.89629,                 1.1766,                0.59143,                 0.9072,                 0.8515,                0.88204,                0.90774,                0.66337,                0.91869,                0.48284,                0.92889,                 1.1932,                0.58646,                 0.9335,              0.0004258,              0.0004258,              0.0004258
                     61,                0.84034,                0.46009,                0.90335,                 1.1887,                0.60438,                0.91172,                0.88613,                0.87398,                0.92865,                0.67735,                0.89695,                0.47709,                0.91665,                 1.2008,                0.56809,                0.93506,              0.0004159,              0.0004159,              0.0004159
                     62,                0.83661,                0.45629,                  0.898,                 1.1815,                  0.607,                0.91397,                0.89581,                0.88338,                0.92092,                0.67023,                0.90551,                0.49008,                0.92659,                 1.1904,                0.56202,                0.93791,               0.000406,               0.000406,               0.000406
                     63,                0.82648,                0.45692,                0.90148,                 1.1713,                0.60273,                0.91332,                0.89272,                 0.8968,                0.92172,                  0.653,                 0.9122,                0.50117,                0.92359,                 1.1903,                0.54923,                0.93057,              0.0003961,              0.0003961,              0.0003961
                     64,                0.82618,                0.45579,                0.90249,                 1.1685,                 0.5966,                0.91147,                0.85563,                0.88965,                0.90613,                0.64504,                0.91068,                0.47609,                0.93208,                 1.2075,                0.54087,                0.94374,              0.0003862,              0.0003862,              0.0003862
                     65,                 0.8211,                   0.45,                0.90236,                 1.1639,                0.58881,                0.91561,                0.91437,                0.90146,                0.93671,                0.66842,                0.93538,                0.49302,                0.94559,                 1.2374,                0.53697,                0.93604,              0.0003763,              0.0003763,              0.0003763
                     66,                0.81833,                0.44651,                0.89388,                 1.1593,                0.57982,                 0.9016,                 0.8981,                0.89236,                0.92187,                0.67563,                0.91446,                0.47713,                0.94089,                 1.2082,                0.54625,                 0.9371,              0.0003664,              0.0003664,              0.0003664
                     67,                0.80808,                0.44119,                 0.8876,                 1.1601,                0.57914,                0.90573,                0.82744,                0.88991,                0.91196,                0.66957,                0.92077,                0.47265,                0.93537,                 1.2125,                0.58364,                0.93973,              0.0003565,              0.0003565,              0.0003565
                     68,                0.82242,                0.44521,                0.89846,                 1.1689,                0.60318,                0.91068,                0.83795,                0.89788,                  0.914,                0.66608,                0.89631,                0.47084,                0.92639,                 1.1838,                0.53319,                0.92369,              0.0003466,              0.0003466,              0.0003466
